athlete_id,first_name,last_name,height,weight,dob,birth_city,birth_state
4461,Andre,Johnson,75,229,07-11-1981,Miami,FL
4536,Wade,Smith,76,295,04-26-1981,Dallas,TX
4561,Bradie,James,74,240,01-17-1981,Monroe,LA
4713,Kevin,Walter,75,218,08-04-1981,Lake Forest,IL
5615,Matt,Schaub,78,245,06-25-1981,West Chester,PA
5660,Antonio,Smith,76,284,10-21-1981,Oklahoma City,OK
8450,Barrett,Ruud,74,241,05-20-1983,Lincoln,NE
8451,Shaun,Cody,76,307,01-22-1983,,
8614,Chris,Myers,76,286,09-15-1981,Miami,FL
9610,Johnathan,Joseph,71,186,04-16-1984,Rock Hill,SC
9628,Danieal,Manning,71,212,08-09-1982,Corsicana,TX
9684,Owen,Daniels,75,245,11-09-1982,Naperville,IL
11260,Duane,Brown,76,329,08-30-1985,Richmond,VA
12449,Connor,Barwin,76,255,10-15-1986,Southfield,MI
12497,Arian,Foster,73,227,08-24-1986,Albuquerque,NM
12716,Glover,Quin,72,207,01-15-1986,Summit,MS
13254,Kareem,Jackson,70,196,04-10-1988,Macon,GA
13371,Garrett,Graham,75,243,08-04-1986,Brick,NJ
13979,J.J.,Watt,77,288,03-22-1989,Pewaukee,WI
13997,Brooks,Reed,75,254,02-28-1987,Tucson,AZ
14197,Derek,Newton,78,315,11-16-1987,Utica,MS
15109,Ben,Jones,75,308,07-02-1989,Centreville,AL
3504,Shayne,Graham,72,210,12-09-1977,Radford,VA
5749,Donnie,Jones,74,221,07-05-1980,Baton Rouge,LA
8452,Stanford,Routt,73,195,07-26-1983,Austin,TX
10514,Ryan,Harris,77,302,03-11-1985,Minneapolis,MN
10587,Brandon,Harris,70,189,01-24-1990,Miami,FL
10680,Alan,Ball,74,195,03-29-1985,Detroit,MI
11351,Quintin,Demps,71,216,06-29-1985,SAN ANTONIO,TX
11467,Justin,Forsett,68,195,10-14-1985,Lakeland,FL
11830,Jesse,Nading,77,257,07-03-1985,St. Paul,MN
12535,James,Casey,75,240,09-22-1984,Fort Worth,TX
12642,Antoine,Caldwell,75,315,04-19-1986,Tallassee,AL
12659,Andrew,Gardner,78,308,04-04-1986,Chamblee,GA
13210,Ben,Tate,70,220,08-21-1988,Woodbridge,VA
13288,Earl,Mitchell,75,310,09-25-1987,Houston,TX
13729,Jon,Weeks,70,242,02-17-1986,Bethpage,NY
13945,Tyler,Clutts,74,250,11-09-1984,Vallejo,CA
14014,Terrell,McClain,74,302,07-20-1988,Tampa,FL
14114,T.J.,Yates,76,217,05-28-1987,Marietta,GA
14118,Roc,Carmichael,70,197,09-09-1988,Laurinburg,NC
14122,Shiloh,Keo,71,208,12-17-1987,Bothell,WA
14524,Bryan,Braman,77,251,05-04-1987,Spokane,WA
14534,Mister,Alexander,75,252,06-02-1988,Killeen,TX
14570,Lestar,Jean,75,202,02-05-1988,Miami,FL
14916,Keshawn,Martin,71,195,03-15-1990,Inkster,MI
14936,Whitney,Mercilus,76,261,07-21-1990,Akron,OH
14962,Brandon,Brooks,77,335,08-19-1989,Milwaukee,WI
14969,DeVier,Posey,73,214,03-15-1990,Redwood City,CA
15019,Jared,Crick,76,285,08-21-1989,Albuquerque,NM
15277,Cameron,Collins,74,246,09-29-1989,,
15609,Cody,White,75,301,07-01-1988,Bloomington,IL
15612,Eddie,Pleasant,70,210,12-17-1988,Compton,CA
2569,Nate,Clements,72,205,12-12-1979,Shaker Heights,OH
4463,Terence,Newman,70,197,09-04-1978,Salina,KS
5642,Robert,Geathers,75,286,08-11-1983,Georgetown,SC
9641,Andrew,Whitworth,79,330,12-18-1981,West Monroe,LA
9709,Domata,Peko Sr.,75,325,11-27-1984,Pago Pago,American Samoa
10462,Leon,Hall,71,195,12-09-1984,Vista,CA
10465,Reggie,Nelson,71,210,09-21-1983,Melbourne,FL
11136,Kyle,Cook,75,310,07-25-1983,Mount Clemens,MI
11754,BenJarvus,Green-Ellis,71,222,07-02-1985,New Orleans,LA
12436,Michael,Johnson,79,280,02-07-1987,Selma,AL
12455,Rey,Maualuga,74,258,01-20-1987,Fort Sill,OK
12622,Andre,Smith,79,335,01-25-1987,Birmingham,AL
13228,Jermaine,Gresham,77,260,06-16-1988,Ardmore,OK
13311,Geno,Atkins,73,300,03-28-1988,Pembroke Pines,FL
13983,A.J.,Green,76,207,07-31-1988,Summerville,SC
14012,Andy,Dalton,74,220,10-29-1987,Katy,TX
14178,Clint,Boling,77,305,05-09-1989,Atlanta,GA
14902,Orson,Charles,75,257,01-27-1991,Tampa,FL
14931,Kevin,Zeitler,76,315,03-08-1990,Waukesha,WI
15072,Marvin,Jones Jr.,74,199,03-12-1990,Fontana,CA
15246,Vontaze,Burfict,73,255,09-24-1990,LOS ANGELES,CA
15640,Emmanuel,Lamur,76,245,06-08-1989,West Palm Beach,FL
4542,Chris,Crocker,71,197,03-09-1980,Chesapeake,VA
4680,Josh,Brown,72,202,04-29-1979,Tulsa,OK
8421,Adam,Jones,70,185,09-30-1983,Atlanta,GA
9602,Jason,Allen,73,200,07-05-1983,Muscle Shoals,AL
9608,Manny,Lawson,77,240,07-03-1984,Goldsboro,NC
9780,Bruce,Gradkowski,73,217,01-27-1983,Pittsburgh,PA
10377,Dennis,Roland,81,315,03-10-1983,Lynchburg,VA
10496,Brian,Leonard,73,225,02-03-1984,Gouverneur,NY
10686,Clark,Harris,77,250,07-10-1984,Manahawkin,NJ
11311,Pat,Sims,74,330,11-29-1985,Fort Lauderdale,FL
11346,Anthony,Collins,77,315,11-02-1985,Beaumont,TX
11809,Wallace,Gilberry,74,265,12-05-1984,Spanish Fort,AL
12519,Cedric,Peerman,70,212,10-10-1986,Lynchburg,VA
12552,Richard,Quinn,76,264,09-06-1986,San Diego,CA
12597,Brandon,Tate,73,195,10-05-1987,Burlington,NC
12669,Kevin,Huber,73,210,07-16-1985,Cincinnati,OH
12932,Dan,Skuta,74,269,04-21-1986,Burton,MI
13274,Carlos,Dunlap,78,277,02-28-1989,North Charleston,SC
13286,Taylor,Mays,75,225,02-07-1988,Seattle,WA
13341,John,Conner,71,245,06-08-1987,Cincinnati,OH
13756,Jeromy,Miles,74,211,07-20-1987,Sicklerville,NJ
13766,Vincent,Rey,72,240,09-06-1987,Brooklyn,NY
13958,Andrew,Hawkins,67,180,03-10-1986,Johnstown,PA
14131,Ryan,Whalen,73,200,07-26-1989,Alamo,CA
14304,Dane,Sanzenbacher,71,184,10-13-1988,Maumee,OH
14963,Devon,Still,77,305,07-11-1989,Camden,NJ
14965,Brandon,Thompson,74,315,10-19-1989,Thomasville,GA
15041,Daniel,Herron,70,212,03-21-1989,Warren,OH
15085,George,Iloka,76,227,03-31-1990,Houston,TX
15365,Trevor,Robinson,77,300,05-16-1990,Kearney,NE
15713,Chris,Lewis-Harris,69,187,02-11-1989,Riverdale,GA
1442,Charles,Woodson,73,210,10-07-1976,Fremont,OH
2577,Ryan,Pickett,74,340,10-08-1979,Zephyrhills,FL
5432,Tramon,Williams,71,191,03-16-1983,New Orleans,LA
8439,Aaron,Rodgers,74,223,12-02-1983,Chico,CA
9591,A.J.,Hawk,73,240,01-06-1984,Kettering,OH
9638,Greg,Jennings,72,198,09-21-1983,Kalamazoo,MI
10522,James,Jones,73,208,03-31-1984,San Jose,CA
11325,Jermichael,Finley,77,247,03-26-1987,Lufkin,TX
11382,Josh,Sitton,75,320,06-16-1986,Jacksonville,FL
12438,Clay,Matthews,75,255,05-14-1986,LOS ANGELES,CA
12447,B.J.,Raji,74,337,07-11-1986,New York,NY
12675,Brad,Jones,75,242,04-01-1986,Lansing,MI
12680,T.J.,Lang,76,315,09-20-1987,Royal Oak,MI
12972,Evan,Smith,74,308,07-19-1986,Salinas,CA
13264,Morgan,Burnett,73,210,01-13-1989,College Park,GA
13428,Marshall,Newhouse,76,330,09-29-1988,Dallas,TX
