,athlete_id,firstName,lastName,weight,heightInches,dob
0,4461,Andre,Johnson,229,75,07-11-1981
1,4536,Wade,Smith,295,76,04-26-1981
2,4561,Bradie,James,240,74,01-17-1981
3,4713,Kevin,Walter,218,75,08-04-1981
4,5615,Matt,Schaub,245,78,06-25-1981
5,5660,Antonio,Smith,284,76,10-21-1981
6,8450,Barrett,Ruud,241,74,05-20-1983
7,8451,Shaun,Cody,307,76,01-22-1983
8,8614,Chris,Myers,286,76,09-15-1981
9,9610,Johnathan,Joseph,186,71,04-16-1984
10,9628,Danieal,Manning,212,71,08-09-1982
11,9684,Owen,Daniels,245,75,11-09-1982
12,11260,Duane,Brown,329,76,08-30-1985
13,12449,Connor,Barwin,255,76,10-15-1986
14,12497,Arian,Foster,227,73,08-24-1986
15,12716,Glover,Quin,207,72,01-15-1986
16,13254,Kareem,Jackson,196,70,04-10-1988
17,13371,Garrett,Graham,243,75,08-04-1986
18,13979,J.J.,Watt,288,77,03-22-1989
19,13997,Brooks,Reed,254,75,02-28-1987
20,14197,Derek,Newton,315,78,11-16-1987
21,15109,Ben,Jones,308,75,07-02-1989
22,3504,Shayne,Graham,210,72,12-09-1977
23,5749,Donnie,Jones,221,74,07-05-1980
24,8452,Stanford,Routt,195,73,07-26-1983
25,10514,Ryan,Harris,302,77,03-11-1985
26,10587,Brandon,Harris,189,70,01-24-1990
27,10680,Alan,Ball,195,74,03-29-1985
28,11351,Quintin,Demps,216,71,06-29-1985
29,11467,Justin,Forsett,195,68,10-14-1985
30,11830,Jesse,Nading,257,77,07-03-1985
31,12535,James,Casey,240,75,09-22-1984
32,12642,Antoine,Caldwell,315,75,04-19-1986
33,12659,Andrew,Gardner,308,78,04-04-1986
34,13210,Ben,Tate,220,70,08-21-1988
35,13288,Earl,Mitchell,310,75,09-25-1987
36,13729,Jon,Weeks,242,70,02-17-1986
37,13945,Tyler,Clutts,250,74,11-09-1984
38,14014,Terrell,McClain,302,74,07-20-1988
39,14114,T.J.,Yates,217,76,05-28-1987
40,14118,Roc,Carmichael,197,70,09-09-1988
41,14122,Shiloh,Keo,208,71,12-17-1987
42,14524,Bryan,Braman,251,77,05-04-1987
43,14534,Mister,Alexander,252,75,06-02-1988
44,14570,Lestar,Jean,202,75,02-05-1988
45,14916,Keshawn,Martin,195,71,03-15-1990
46,14936,Whitney,Mercilus,261,76,07-21-1990
47,14962,Brandon,Brooks,335,77,08-19-1989
48,14969,DeVier,Posey,214,73,03-15-1990
49,15019,Jared,Crick,285,76,08-21-1989
50,15277,Cameron,Collins,246,74,09-29-1989
51,15609,Cody,White,301,75,07-01-1988
52,15612,Eddie,Pleasant,210,70,12-17-1988
53,2569,Nate,Clements,205,72,12-12-1979
54,4463,Terence,Newman,197,70,09-04-1978
55,5642,Robert,Geathers,286,75,08-11-1983
56,9641,Andrew,Whitworth,330,79,12-18-1981
57,9709,Domata,Peko Sr.,325,75,11-27-1984
58,10462,Leon,Hall,195,71,12-09-1984
59,10465,Reggie,Nelson,210,71,09-21-1983
60,11136,Kyle,Cook,310,75,07-25-1983
61,11754,BenJarvus,Green-Ellis,222,71,07-02-1985
62,12436,Michael,Johnson,280,79,02-07-1987
63,12455,Rey,Maualuga,258,74,01-20-1987
64,12622,Andre,Smith,335,79,01-25-1987
65,13228,Jermaine,Gresham,260,77,06-16-1988
66,13311,Geno,Atkins,300,73,03-28-1988
67,13983,A.J.,Green,207,76,07-31-1988
68,14012,Andy,Dalton,220,74,10-29-1987
69,14178,Clint,Boling,305,77,05-09-1989
70,14902,Orson,Charles,257,75,01-27-1991
71,14931,Kevin,Zeitler,315,76,03-08-1990
72,15072,Marvin,Jones Jr.,199,74,03-12-1990
73,15246,Vontaze,Burfict,255,73,09-24-1990
74,15640,Emmanuel,Lamur,245,76,06-08-1989
75,4542,Chris,Crocker,197,71,03-09-1980
76,4680,Josh,Brown,202,72,04-29-1979
77,8421,Adam,Jones,185,70,09-30-1983
78,9602,Jason,Allen,200,73,07-05-1983
79,9608,Manny,Lawson,240,77,07-03-1984
80,9780,Bruce,Gradkowski,217,73,01-27-1983
81,10377,Dennis,Roland,315,81,03-10-1983
82,10496,Brian,Leonard,225,73,02-03-1984
83,10686,Clark,Harris,250,77,07-10-1984
84,11311,Pat,Sims,330,74,11-29-1985
85,11346,Anthony,Collins,315,77,11-02-1985
86,11809,Wallace,Gilberry,265,74,12-05-1984
87,12519,Cedric,Peerman,212,70,10-10-1986
